1)   209	9	52	117	86	2	0	0	1	1	13	0	224	4	
2)   209	9	147	36	40	4	0	0	1	1	13	0	254	94	
3)   209	9	98	218	175	5	0	0	1	1	13	0	37	149	
4)   209	9	230	118	212	11	32	18	6	9	13	0	44	57	
5)   209	9	15	157	235	13	32	18	6	9	13	0	81	97	
6)   209	9	15	192	208	15	32	18	6	9	13	0	85	131	
7)   209	9	230	118	212	12	27	19	6	9	13	0	114	221	
8)   209	9	15	192	208	13	27	19	6	9	13	0	72	102	
9)   209	9	15	157	235	15	27	19	6	9	13	0	76	132	
10)   209	9	230	118	212	16	27	19	6	9	13	0	99	186	
11)   209	9	15	192	208	32	27	19	6	9	13	0	51	45	
12)   209	9	15	157	235	33	27	19	6	9	13	0	249	47	
13)   209	9	230	118	212	34	27	19	6	9	13	0	199	118	
14)   209	9	230	118	212	28	0	0	1	1	13	0	12	190	
15)   209	9	15	157	235	29	0	0	1	1	13	0	185	167	
16)   209	9	15	192	208	30	0	0	1	1	13	0	248	229	
17)   209	9	230	118	212	31	0	0	1	1	13	0	194	94	
18)   209	9	15	157	235	33	0	0	1	1	13	0	157	200	
19)   209	9	15	192	208	34	0	0	1	1	13	0	220	138	
20)   209	9	230	118	212	34	0	0	1	1	13	0	163	145	
21)   209	9	230	118	212	13	0	0	1	1	13	0	83	154	
22)   209	9	15	157	235	14	0	0	1	1	13	0	109	195	
23)   209	9	15	192	208	15	0	0	1	1	13	0	167	193	
24)   209	9	230	118	212	16	0	0	1	1	13	0	7	93	
25)   209	9	15	157	235	17	0	0	1	1	13	0	178	68	
26)   209	9	15	192	208	18	0	0	1	1	13	0	243	6	
27)   209	9	230	118	212	19	0	0	1	1	13	0	201	189	

**********************************************EOF**********************************************
