1)   209	9	198	112	36	30	29	4	1	1	13	0	96	128	
2)   209	9	15	199	27	31	29	4	1	1	13	0	168	182	
3)   209	9	15	187	111	32	29	4	1	1	13	0	166	37	
4)   209	9	15	199	27	33	29	4	1	1	13	0	7	153	
5)   209	9	15	187	111	34	29	4	1	1	13	0	45	101	
6)   209	9	15	199	27	35	29	4	1	1	13	0	140	217	
7)   209	9	15	187	111	36	29	4	1	1	13	0	160	132	
8)   209	9	15	199	27	38	29	4	1	1	13	0	207	216	
9)   209	9	15	187	111	38	29	4	1	1	13	0	43	196	
10)   209	9	198	112	36	4	30	4	1	1	13	0	18	212	
11)   209	9	15	187	111	6	30	4	1	1	13	0	240	30	
12)   209	9	15	199	27	7	30	4	1	1	13	0	81	162	
13)   209	9	15	187	111	7	30	4	1	1	13	0	181	190	
14)   209	9	15	199	27	8	30	4	1	1	13	0	148	161	
15)   209	9	15	187	111	9	30	4	1	1	13	0	53	29	
16)   209	9	15	199	27	9	30	4	1	1	13	0	209	1	
17)   209	9	15	187	111	10	30	4	1	1	13	0	251	253	
18)   209	9	198	112	36	2	34	4	1	1	13	0	24	240	
19)   209	9	15	199	27	4	34	4	1	1	13	0	24	135	
20)   209	9	15	187	111	5	34	4	1	1	13	0	185	59	
21)   209	9	15	199	27	7	34	4	1	1	13	0	214	103	
22)   209	9	15	187	111	9	34	4	1	1	13	0	178	216	
23)   209	9	15	199	27	10	34	4	1	1	13	0	152	36	
24)   209	9	15	187	111	11	34	4	1	1	13	0	57	152	
25)   209	9	15	199	27	12	34	4	1	1	13	0	21	197	
26)   209	9	15	187	111	13	34	4	1	1	13	0	180	121	
27)   209	9	15	199	27	14	34	4	1	1	13	0	158	133	
28)   209	9	15	187	111	14	34	4	1	1	13	0	122	153	
29)   209	9	15	199	27	16	34	4	1	1	13	0	4	162	
30)   209	9	15	187	111	16	34	4	1	1	13	0	224	190	
31)   209	9	15	199	27	17	34	4	1	1	13	0	65	2	
32)   209	9	15	187	111	18	34	4	1	1	13	0	107	254	
33)   209	9	15	199	27	19	34	4	1	1	13	0	202	66	
34)   209	9	15	187	111	19	34	4	1	1	13	0	46	94	
35)   209	9	198	112	36	21	36	4	1	1	13	0	7	176	
36)   209	9	15	199	27	24	36	4	1	1	13	0	196	101	
37)   209	9	15	187	111	25	36	4	1	1	13	0	101	217	
38)   209	9	15	199	27	25	36	4	1	1	13	0	129	197	
39)   209	9	15	187	111	26	36	4	1	1	13	0	171	57	
40)   209	9	15	199	27	26	36	4	1	1	13	0	79	37	
41)   209	9	15	187	111	28	36	4	1	1	13	0	38	216	
42)   209	9	15	199	27	28	36	4	1	1	13	0	194	196	
43)   209	9	15	187	111	29	36	4	1	1	13	0	99	120	
44)   209	9	15	199	27	30	36	4	1	1	13	0	73	132	
45)   209	9	15	187	111	30	36	4	1	1	13	0	173	152	
46)   209	9	15	199	27	31	36	4	1	1	13	0	12	36	
47)   209	9	15	187	111	32	36	4	1	1	13	0	2	183	
48)   209	9	198	112	36	35	36	4	1	1	13	0	165	221	
49)   209	9	15	187	111	59	43	4	1	1	13	0	190	104	
50)   209	9	15	199	27	0	44	4	1	1	13	0	209	142	
51)   209	9	15	187	111	0	44	4	1	1	13	0	53	146	
52)   209	9	15	199	27	1	44	4	1	1	13	0	148	46	
53)   209	9	198	112	36	36	0	0	1	1	13	0	38	223	
54)   209	9	15	199	27	37	0	0	1	1	13	0	238	233	
55)   209	9	15	187	111	40	0	0	1	1	13	0	68	182	
56)   209	9	15	199	27	40	0	0	1	1	13	0	160	170	
57)   209	9	15	187	111	41	0	0	1	1	13	0	1	22	
58)   209	9	15	199	27	42	0	0	1	1	13	0	43	234	
59)   209	9	15	187	111	42	0	0	1	1	13	0	207	246	
60)   209	9	15	199	27	43	0	0	1	1	13	0	110	74	
61)   209	9	15	187	111	44	0	0	1	1	13	0	66	23	
62)   209	9	15	199	27	44	0	0	1	1	13	0	166	11	
63)   209	9	15	187	111	45	0	0	1	1	13	0	7	183	
64)   209	9	15	199	27	46	0	0	1	1	13	0	45	75	
65)   209	9	198	112	36	50	1	0	1	1	13	0	27	235	
66)   209	9	15	187	111	52	1	0	1	1	13	0	255	128	
67)   209	9	15	199	27	53	1	0	1	1	13	0	94	60	
68)   209	9	15	187	111	53	1	0	1	1	13	0	186	32	
69)   209	9	15	199	27	54	1	0	1	1	13	0	144	220	
70)   209	9	15	187	111	54	1	0	1	1	13	0	116	192	
71)   209	9	15	199	27	55	1	0	1	1	13	0	213	124	
72)   209	9	15	187	111	56	1	0	1	1	13	0	244	99	
73)   209	9	15	199	27	57	1	0	1	1	13	0	85	223	

**********************************************EOF**********************************************
